#    L    TT             EE             TE          
   456    0.18665E+04    0.14380E+02   -0.68834E+02
   457    0.18764E+04    0.14212E+02   -0.69253E+02
   458    0.18866E+04    0.14044E+02   -0.69628E+02
   459    0.18967E+04    0.13876E+02   -0.69976E+02
   460    0.19070E+04    0.13707E+02   -0.70289E+02
   461    0.19173E+04    0.13537E+02   -0.70570E+02
   462    0.19276E+04    0.13367E+02   -0.70812E+02
   463    0.19380E+04    0.13197E+02   -0.71033E+02
   464    0.19483E+04    0.13028E+02   -0.71203E+02
   465    0.19587E+04    0.12858E+02   -0.71353E+02
   466    0.19691E+04    0.12688E+02   -0.71460E+02
   467    0.19796E+04    0.12519E+02   -0.71539E+02
   468    0.19901E+04    0.12350E+02   -0.71582E+02
   469    0.20006E+04    0.12180E+02   -0.71598E+02
   470    0.20111E+04    0.12012E+02   -0.71577E+02
   471    0.20214E+04    0.11845E+02   -0.71521E+02
   472    0.20319E+04    0.11679E+02   -0.71437E+02
   473    0.20423E+04    0.11512E+02   -0.71317E+02
   474    0.20527E+04    0.11348E+02   -0.71168E+02
   475    0.20631E+04    0.11183E+02   -0.70984E+02
   476    0.20734E+04    0.11020E+02   -0.70766E+02
   477    0.20836E+04    0.10858E+02   -0.70524E+02
   478    0.20938E+04    0.10697E+02   -0.70240E+02
   479    0.21040E+04    0.10538E+02   -0.69938E+02
   480    0.21141E+04    0.10380E+02   -0.69598E+02
   481    0.21241E+04    0.10223E+02   -0.69224E+02
   482    0.21341E+04    0.10069E+02   -0.68823E+02
   483    0.21439E+04    0.99155E+01   -0.68396E+02
   484    0.21536E+04    0.97644E+01   -0.67938E+02
   485    0.21633E+04    0.96146E+01   -0.67449E+02
   486    0.21730E+04    0.94676E+01   -0.66932E+02
   487    0.21824E+04    0.93226E+01   -0.66388E+02
   488    0.21918E+04    0.91790E+01   -0.65814E+02
   489    0.22011E+04    0.90381E+01   -0.65214E+02
   490    0.22103E+04    0.88999E+01   -0.64585E+02
   491    0.22192E+04    0.87638E+01   -0.63931E+02
   492    0.22281E+04    0.86304E+01   -0.63252E+02
   493    0.22369E+04    0.84982E+01   -0.62545E+02
   494    0.22456E+04    0.83703E+01   -0.61814E+02
   495    0.22540E+04    0.82443E+01   -0.61058E+02
   496    0.22624E+04    0.81218E+01   -0.60278E+02
   497    0.22705E+04    0.80019E+01   -0.59474E+02
   498    0.22786E+04    0.78840E+01   -0.58648E+02
   499    0.22866E+04    0.77703E+01   -0.57797E+02
   500    0.22943E+04    0.76585E+01   -0.56927E+02
   501    0.23018E+04    0.75509E+01   -0.56034E+02
   502    0.23093E+04    0.74467E+01   -0.55120E+02
   503    0.23165E+04    0.73451E+01   -0.54186E+02
   504    0.23235E+04    0.72469E+01   -0.53231E+02
   505    0.23305E+04    0.71529E+01   -0.52259E+02
   506    0.23372E+04    0.70625E+01   -0.51267E+02
   507    0.23438E+04    0.69753E+01   -0.50258E+02
